📊 Audio Samples: [0.00000, 0.00000, -0.00000, -0.00000, -0.00000, -0.00000, -0.00000, -0.00000, -0.00000, -0.00000]
📊 Audio Samples: [0.00006, 0.00008, 0.00010, 0.00013, 0.00017, 0.00020, 0.00021, 0.00023, 0.00023, 0.00022]
📊 Audio Samples: [-0.00400, -0.00399, -0.00398, -0.00397, -0.00393, -0.00389, -0.00390, -0.00393, -0.00392, -0.00387]
📊 Audio Samples: [-0.00254, -0.00255, -0.00262, -0.00271, -0.00274, -0.00275, -0.00281, -0.00289, -0.00295, -0.00299]
📊 Audio Samples: [0.00079, 0.00085, 0.00088, 0.00096, 0.00103, 0.00106, 0.00113, 0.00125, 0.00131, 0.00134]
📊 Audio Samples: [0.00477, 0.00496, 0.00516, 0.00531, 0.00546, 0.00563, 0.00584, 0.00603, 0.00620, 0.00637]
📊 Audio Samples: [-0.00347, -0.00341, -0.00332, -0.00325, -0.00320, -0.00309, -0.00303, -0.00294, -0.00278, -0.00267]
📊 Audio Samples: [0.00261, 0.00263, 0.00259, 0.00256, 0.00255, 0.00252, 0.00242, 0.00240, 0.00238, 0.00229]
📊 Audio Samples: [0.00221, 0.00217, 0.00251, 0.00285, 0.00285, 0.00274, 0.00293, 0.00323, 0.00365, 0.00380]
📊 Audio Samples: [0.00078, 0.00075, 0.00053, 0.00033, 0.00038, 0.00030, 0.00012, -0.00002, -0.00023, -0.00037]
📊 Audio Samples: [-0.00673, -0.00702, -0.00714, -0.00697, -0.00713, -0.00690, -0.00619, -0.00653, -0.00663, -0.00592]
📊 Audio Samples: [0.00261, 0.00259, 0.00274, 0.00282, 0.00279, 0.00286, 0.00292, 0.00293, 0.00299, 0.00302]
📊 Audio Samples: [0.00563, 0.00569, 0.00572, 0.00585, 0.00600, 0.00609, 0.00616, 0.00627, 0.00639, 0.00651]
📊 Audio Samples: [0.00634, 0.00635, 0.00630, 0.00624, 0.00621, 0.00616, 0.00614, 0.00614, 0.00611, 0.00614]
📊 Audio Samples: [-0.00205, -0.00225, -0.00203, -0.00157, -0.00190, -0.00239, -0.00209, -0.00152, -0.00145, -0.00160]
📊 Audio Samples: [-0.00090, -0.00079, -0.00073, -0.00068, -0.00064, -0.00069, -0.00068, -0.00048, -0.00046, -0.00047]
📊 Audio Samples: [0.00409, 0.00423, 0.00438, 0.00449, 0.00457, 0.00463, 0.00467, 0.00475, 0.00485, 0.00498]
📊 Audio Samples: [-0.01772, -0.01786, -0.01842, -0.01939, -0.02071, -0.02232, -0.02404, -0.02567, -0.02707, -0.02820]
📊 Audio Samples: [-0.00538, -0.00526, -0.00475, -0.00435, -0.00478, -0.00583, -0.00683, -0.00751, -0.00813, -0.00887]
📊 Audio Samples: [0.00090, -0.00016, -0.00093, -0.00057, -0.00016, -0.00012, 0.00062, 0.00178, 0.00200, 0.00087]
📊 Audio Samples: [0.07797, 0.07778, 0.07777, 0.07792, 0.07821, 0.07861, 0.07893, 0.07898, 0.07854, 0.07749]
📊 Audio Samples: [-0.00515, -0.00530, -0.00555, -0.00591, -0.00631, -0.00669, -0.00709, -0.00742, -0.00765, -0.00790]
📊 Audio Samples: [0.00786, 0.00705, 0.00687, 0.00744, 0.00851, 0.00978, 0.01121, 0.01270, 0.01387, 0.01450]
📊 Audio Samples: [-0.01442, -0.01337, -0.01233, -0.01129, -0.01023, -0.00906, -0.00783, -0.00668, -0.00562, -0.00465]
📊 Audio Samples: [0.00109, 0.00256, 0.00404, 0.00471, 0.00427, 0.00337, 0.00291, 0.00292, 0.00281, 0.00269]
📊 Audio Samples: [0.00430, 0.00389, 0.00283, 0.00178, 0.00133, 0.00126, 0.00114, 0.00138, 0.00226, 0.00331]
📊 Audio Samples: [-0.01406, -0.01413, -0.01417, -0.01416, -0.01412, -0.01401, -0.01387, -0.01370, -0.01351, -0.01330]
📊 Audio Samples: [-0.01851, -0.01814, -0.01771, -0.01728, -0.01686, -0.01638, -0.01594, -0.01550, -0.01505, -0.01466]
📊 Audio Samples: [-0.00495, -0.00510, -0.00494, -0.00465, -0.00453, -0.00445, -0.00425, -0.00413, -0.00417, -0.00430]
📊 Audio Samples: [-0.00108, -0.00147, -0.00186, -0.00225, -0.00259, -0.00287, -0.00319, -0.00356, -0.00385, -0.00413]
📊 Audio Samples: [-0.00075, -0.00134, -0.00174, -0.00184, -0.00160, -0.00121, -0.00064, 0.00002, 0.00030, -0.00009]
📊 Audio Samples: [-0.00297, -0.00328, -0.00357, -0.00356, -0.00310, -0.00248, -0.00158, -0.00068, -0.00048, -0.00055]
📊 Audio Samples: [-0.01280, -0.01282, -0.01229, -0.01180, -0.01139, -0.01055, -0.01013, -0.01075, -0.01077, -0.00995]
📊 Audio Samples: [0.00930, 0.00940, 0.00947, 0.00953, 0.00962, 0.00970, 0.00974, 0.00975, 0.00979, 0.00986]
📊 Audio Samples: [-0.01496, -0.01460, -0.01425, -0.01389, -0.01346, -0.01296, -0.01246, -0.01199, -0.01148, -0.01101]
📊 Audio Samples: [-0.01017, -0.01003, -0.00983, -0.00955, -0.00930, -0.00908, -0.00888, -0.00870, -0.00850, -0.00833]
📊 Audio Samples: [-0.00171, -0.00183, -0.00213, -0.00238, -0.00256, -0.00252, -0.00221, -0.00209, -0.00220, -0.00223]
📊 Audio Samples: [-0.00955, -0.00959, -0.00938, -0.00946, -0.00943, -0.00934, -0.00938, -0.00963, -0.00978, -0.00942]
📊 Audio Samples: [-0.02102, -0.02084, -0.02064, -0.02047, -0.02030, -0.02011, -0.01988, -0.01964, -0.01935, -0.01904]
📊 Audio Samples: [-0.00103, -0.00093, -0.00090, -0.00089, -0.00081, -0.00079, -0.00077, -0.00065, -0.00053, -0.00040]
📊 Audio Samples: [-0.00180, -0.00183, -0.00183, -0.00212, -0.00185, -0.00124, -0.00196, -0.00219, -0.00147, -0.00174]
📊 Audio Samples: [-0.00312, -0.00305, -0.00303, -0.00296, -0.00289, -0.00286, -0.00281, -0.00277, -0.00272, -0.00263]
📊 Audio Samples: [0.00392, 0.00408, 0.00429, 0.00449, 0.00466, 0.00482, 0.00500, 0.00517, 0.00533, 0.00555]
📊 Audio Samples: [0.00112, 0.00117, 0.00124, 0.00130, 0.00135, 0.00139, 0.00139, 0.00142, 0.00144, 0.00146]
📊 Audio Samples: [-0.00085, -0.00082, -0.00082, -0.00084, -0.00086, -0.00083, -0.00084, -0.00093, -0.00097, -0.00099]
📊 Audio Samples: [-0.00014, -0.00019, -0.00021, -0.00024, -0.00029, -0.00035, -0.00036, -0.00038, -0.00044, -0.00048]
📊 Audio Samples: [0.00049, 0.00056, 0.00056, 0.00055, 0.00064, 0.00069, 0.00069, 0.00074, 0.00078, 0.00082]
